Longitude,Latitude,Horizontal_logSa70,Horizontal_logSa200,Bottom_Depth,ESU_number
-32.4753545164724,-3.85746564057798,2.478473,2.548615,91.9237333659538,59
-32.4728013990237,-3.86544075549176,3.000009,2.86446,36.0950663114828,60
-32.4781677518284,-3.86298629882177,2.894897,2.904595,35.7325671108467,61
-32.4934364128531,-3.85690869174205,1.568582,2.093794,93.8801974106666,62
-32.4861664200474,-3.87072599060662,1.917124,2.350933,88.3428025369968,63
-32.4918664824758,-3.88379878108458,1.402247,1.944081,122.569831548529,64
-32.4778291291031,-3.88065030020831,1.812559,2.141546,124.747118081706,65
-32.4749711979883,-3.87237685425972,2.094662,2.164929,37.284274100682,66
-32.4646591679544,-3.86007917960344,1.984149,1.64287,33.1813909876234,67
-32.4515110620526,-3.84972416616413,1.999995,1.624962,35.9878265409772,68
-32.4363921036913,-3.84263739714448,2.698126,2.507468,27.8484433832723,69
-32.4210441825885,-3.83706122286513,2.150261,2.010264,20.2874858094904,70
-32.4203614908447,-3.8330486049922,1.465888,1.561885,19.4412504219528,71
-32.4365099471398,-3.83591377814601,0.9648991,1.182032,28.9592183482044,72
-32.4490193704834,-3.84662348847335,0.8339331,0.6659649,35.5915382528374,73
-32.461434067414,-3.85710151519265,1.61741,1.448395,36.3203638253542,74
-32.4738229406163,-3.86821653724074,2.334411,2.116598,35.7380421448816,75
-32.4721427951995,-3.88015651665941,2.457249,2.370174,32.7432867823604,76
-32.4699225521097,-3.89612754041017,1.94275,2.094875,92.7600253097246,77
-32.4565740014704,-3.88917188977438,1.447941,2.086919,133.366362709431,78
-32.456405283821,-3.89119783253649,2.117794,1.629996,52.4726283339618,79
-32.4552678407282,-3.90381598010878,1.632136,1.923559,232.257212868567,80
-32.4450351611424,-3.89228623381297,1.429101,2.096226,108.308124392206,81
-32.4397719769024,-3.87865337975607,1.17771,0.8576038,40.6379495769552,82
-32.4395824643169,-3.88902949741015,1.346674,1.160841,31.6029706499106,83
-32.4374586323303,-3.90494203560409,1.5366,1.279671,58.1413755673729,84
-32.4322133796618,-3.90700433723821,2.609751,2.10153,252.196262451106,85
-32.4234181130422,-3.89320625556993,1.841771,1.663437,52.4785046590409,86
-32.4233456490999,-3.88811200921587,2.795743,2.43071,30.0366756767963,87
-32.4209447391295,-3.89325964599374,2.47985,2.426984,32.8241291720572,88
-32.412886151495,-3.90757158102034,1.718889,1.474054,45.9752221334029,89
-32.4093948947996,-3.9189914744896,1.168148,1.730417,94.9026403222331,90
-32.4074001711176,-3.90461486211022,1.60279,2.338615,66.2506748533174,91
-32.4047565758239,-3.88843532863455,1.246516,1.107112,46.0183738771028,92
-32.4115536608017,-3.87606999855891,1.775042,1.361684,38.1108324834395,93
-32.4086538894468,-3.88011763021023,2.405867,2.069759,28.2381236369082,94
-32.3985407858658,-3.89270183799745,1.120249,0.6716906,42.3122567819551,95
-32.3882243564547,-3.90497555437412,1.94974,1.817571,45.9836779972524,96
-32.3787362001752,-3.91634003465661,2.087978,2.205079,58.4236334981933,97
-32.3846828769619,-3.90623268415999,2.633166,2.56626,105.466242829545,98
-32.386333414562,-3.88959432192359,2.438207,2.389038,42.5593046551254,99
-32.3881094197739,-3.87299650626269,2.179495,1.882427,43.5865512561371,100
-32.3884694017389,-3.8564947652055,1.666988,1.510994,39.5321609911373,101
-32.3905461492783,-3.84029277925377,1.9281,1.775506,22.6281288223963,102
-32.3944935179693,-3.82631446541052,2.060972,1.741731,16.9408343817813,103
-32.400404265568,-3.82179024524805,2.183441,2.060903,12.5883410385247,104
-32.3857951308257,-3.81888037575985,2.349693,2.196946,16.6556535183242,105
-32.3704410540327,-3.82437402614835,2.090044,2.104678,30.449166247348,106
-32.358080611057,-3.82829694605886,2.952485,2.953643,27.9639120002794,107
-32.3610381483782,-3.82829506627629,2.896904,2.904533,25.9244805212511,108
-32.3590415909904,-3.81917857720193,3.086279,2.928815,27.5255138998713,109
-32.3647636894759,-3.80416370694328,2.756282,2.640649,40.4418530228827,110
-32.3727519672086,-3.7943252240212,2.317357,2.27826,125.45941067149,111
-32.3713688498058,-3.79388530971906,2.764399,2.826839,74.706261659591,112
-32.3775158361722,-3.79183423285259,2.502535,2.722744,78.9669374623639,113
-32.3726573896012,-3.79375861097232,2.015833,2.287975,103.019466357594,114
-32.3726105097612,-3.79335319316348,2.117908,2.341785,94.7286015090743,115
-32.3757159717741,-3.78260653898225,2.02588,2.452878,102.507891420102,116
-32.3896507789219,-3.79021645555825,1.868149,2.104568,189.365323487167,117
-32.4018866452771,-3.80133427734649,1.623383,1.633498,55.5186443817093,118
-32.4058981942038,-3.81708191090617,1.665173,1.763737,39.4093375728023,119
