Poly_LabelName,Poly_Longitude,Poly_Latitude,Poly_Time,Poly_EsuPingStart,Poly_Bottom,Poly_depth,Poly_limit_up,Poly_limit_down,Poly_sum_Sa_70,Poly_sum_Sa_200,Poly_mean_Sv_70,Poly_mean_Sv_200,Poly_pixel_number,FAROFA,MPA,Wind_exposure,distanceToCoast,distanceToShelfbreak,SaFish_70,SaNoFish_70,SaFish_200,SaNoFish_200,Sediment,nb_Sediment,Depth_std,Rugosity,Slope,ESU25row,Poly_sum_logSa_70,Poly_sum_logSa_200,logSaFish_70,logSaFish_200,logSaNoFish_70,logSaNoFish_200,SaFish_Other_70,SaFish_Other_200,logSaFish_Other_70,logSaFish_Other_200,distanceToShelfbreak_factor
bottom.small.fish.school,-32.43356782,-3.842574529,736957.6338,249502,17.385,16.7,12.94581058,20.5693795,1154420.656,968202.327,-43.8780846,-35.61998152,28026,1,out,leeward,0.409522677,-2.769405281,0,25.75269,0,4.526473,NA,NA,0.338552544,0.587611256,0.017148233,7711,6.06236446516884,5.98596657065692,0,0,1.42736745713931,0.742448052585358,1154420.656,968202.327,6.06236446516884,5.98596657065692,eu_upper
bottom.small.fish.school,-32.43837147,-3.845158335,736957.6369,251862,14.849,14.7,13.01491035,16.48990563,1154842.826,968495.8142,-43.87868852,-35.62059955,28065,1,out,leeward,0.427135235,-2.549324337,0.7172397,8.601745,0.6674824,2.920843,NA,NA,0.165528217,0.599625391,0.015816997,7736,6.06252325687547,5.98609819647729,0.234830920158922,0.222061258706596,0.982350167935642,0.593379452450992,1154842.1087603,968495.1467176,6.06252298714779,5.98609789716394,eu_upper
bottom.small.fish.school,-32.45082415,-3.856178047,736957.6463,258882,23.616,23.3,21.36073473,25.47040365,1161313.026,972037.6143,-43.88127031,-35.62328332,28235,1,in,leeward,0.057299563,-2.36102241,44.38088,102.9992,30.76637,16.81491,NA,NA,0.193881606,0.601115676,0.001494922,7814,6.06494967134786,5.98768351764676,1.65687291322011,1.50196759005409,2.01702999855915,1.25078363265941,1161268.64512,972006.84793,6.0649330739942,5.98766977140666,eu_lower
bottom.small.fish.school,-32.45318391,-3.857635186,736957.6478,260024,23.156,21.7,17.77180915,24.45757569,1335523.933,1038893.024,-43.16660574,-35.66149529,30850,1,in,leeward,0.217986387,-2.372892822,87.9943,71.43346,25.2641,21.70982,NA,NA,0.087777412,0.584964868,0.005913568,7827,6.12565200030441,6.01657124809674,1.9493621913885,1.4193625232914,1.85993923106593,1.3562136919777,1335435.9387,1038867.7599,6.12562338481622,6.0165606866801,eu_lower
bottom.small.fish.school,-32.45702032,-3.861431278,736957.6506,262132,22.642,22.3,18.74267131,25.50848823,1391656.426,1063328.952,-43.14976912,-35.67276263,31680,1,in,leeward,0.451013751,-2.329805039,2.196277,116.9166,0.6216506,20.43167,NA,NA,0.194322989,0.591803092,0.009641746,7852,6.14353234137502,6.0266680473061,0.504644409677797,0.209957287089698,2.0715749482751,1.33105601348358,1391654.229723,1063328.3303494,6.1435316559824,6.02666779340607,eu_lower
bottom.small.fish.school,-32.48214295,-3.872497042,736957.6675,274775,36.207,36.3,31.57342418,41.46629329,1400349.329,1066637.325,-43.15490682,-35.6777752,32057,1,in,leeward,0.528466405,-0.925660556,43.98174,129.8777,13.06723,25.44916,NA,NA,0.651099799,0.639503203,0.006719939,8004,6.14623669776296,6.02801718410684,1.65303625096139,1.14820858825571,2.11686565425141,1.42241188381326,1400305.34726,1066624.25777,6.14622305737129,6.02801186359612,eu_lower
bottom.small.fish.school,-32.48585773,-3.872091231,736957.6695,275967,60.23,59.7,55.7344184,62.72390511,1404053.054,1068029.071,-43.15720382,-35.68008738,32227,1,off50m,leeward,0.890286863,0.776476802,15.2508,353.6456,2.628876,59.98806,NA,NA,0.191783685,0.665996839,0.012695014,8021,6.14738382780948,6.02858348067523,1.21087474544003,0.55977212845522,2.54979457603405,1.78524481888492,1404037.8032,1068026.442124,6.14737911048807,6.02858241169058,meso_middle
bottom.small.fish.school,-32.47017758,-3.856360604,736957.699,280707,54.513,54.3,49.85113791,57.80793822,1422296.723,1076099.014,-43.16554564,-35.68841644,32852,1,in,leeward,1.637169919,0.864323916,1.964325,259.6866,0.3874377,55.75561,NA,NA,0.47358048,0.625513909,0.007535164,8185,6.15299051476383,6.03185263704578,0.471925816705716,0.142213491143418,2.41611870782493,1.75400879576167,1422294.758675,1076098.6265623,6.15298991496248,6.03185248068291,meso_upper
bottom.small.fish.school,-32.46140023,-3.86044315,736957.7042,283788,32.825,31.5,26.63281148,36.23400609,1453390.639,1086749.738,-43.17119411,-35.69601675,33428,1,in,leeward,0.652973072,-1.933328997,0,94.64474,0,17.83943,NA,NA,0.176470457,0.629460595,0.027549773,8230,6.16238265747647,6.03612994378739,0,0,1.98066109091544,1.27506775877536,1453390.639,1086749.738,6.16238265747647,6.03612994378739,eu_lower
bottom.small.fish.school,-32.45851197,-3.861878659,736957.7059,284793,26.244,26.1,22.0121508,29.98974342,1464017.516,1091128.484,-43.17624414,-35.70113791,33819,1,in,leeward,0.399911659,-2.261758756,0,93.46002,0,21.4205,NA,NA,0.226600257,0.636790672,0.037722415,8244,6.1655465694449,6.03787629123904,0,0,1.97524803319377,1.35064529357651,1464017.516,1091128.484,6.1655465694449,6.03787629123904,eu_lower
